ID,Name,Type,X,Y,Width,Height,Section Link,Direct Link
2:6684,"타원 83",vector,27885,12435,20,20,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6684","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6684&mode=design"
2:6685,"타원 84",vector,28388,12435,20,20,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6685","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6685&mode=design"
2:6686,"타원 85",vector,28892,12435,20,20,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6686","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6686&mode=design"
2:6687,"이제, 아트넥스를 통해 더욱 발전된 브랜드만의 세계관을 구축하세요.",text,27981,12916,837,36,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6687","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6687&mode=design"
2:6688,"DO YOU WANT NEXT? NOW, WE ARE ARTNEX!",text,27967,12972,865,60,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6688","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6688&mode=design"
2:6689,"Frame 500",frame,27724,13063.5,1350,100,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6689","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6689&mode=design"
2:6690,"BUILD YOUR BRAND’S WORLD",text,28118,13083.5,562,60,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6690","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6690&mode=design"
2:6691,"Frame 490",frame,27439,6973,1920,5271,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6691","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6691&mode=design"
2:6692,"그룹 1697",group,28299,6973,200,216.7449951171875,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6692","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6692&mode=design"
2:6693,"Group 33",group,28299,6973,200,216.7449951171875,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6693","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6693&mode=design"
2:6694,"패스 2171",vector,28399,6973,0,210.4487762451172,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6694","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6694&mode=design"
2:6695,"그룹 1460",group,28299,7068.20947265625,200,121.5355224609375,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6695","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6695&mode=design"
2:6696,"Clip path group",group,28299,7068.20947265625,200,121.5355224609375,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6696","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6696&mode=design"
2:6697,"clip-path-12",group,28299,7068.20947265625,200,121.5355224609375,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6697","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6697&mode=design"
2:6698,"사각형 569",vector,28299,7068.20947265625,200,121.5355224609375,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6698","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6698&mode=design"
2:6699,"그룹 1457",group,28301.853576660156,7071.42529296875,194.28900146484375,111.74609375,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6699","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6699&mode=design"
2:6700,"패스 2172",vector,28301.853576660156,7071.42529296875,194.28900146484375,111.74609375,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6700","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6700&mode=design"
2:6701,"Frame 477",frame,27994,7244.7451171875,810,203,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6701","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6701&mode=design"
2:6702,"Core Process",text,28245,7244.7451171875,308,60,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6702","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6702&mode=design"
2:6703,"우리 브랜드만의 포지셔닝을 명확히 해야 합니다.",text,28007,7329.7451171875,784,118,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6703","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6703&mode=design"
2:6704,"Group 287",group,27661,7525,1476,538.9765625,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6704","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6704&mode=design"
2:6705,"Group 284",group,27661,7525,470,338.00048828125,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6705","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6705&mode=design"
2:6706,"사각형 1010",group,27661,7555.00048828125,470,308,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6706","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6706&mode=design"
2:6707,"Vector",vector,27661,7555.00048828125,470,308,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6707","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6707&mode=design"
2:6708,"Vector",vector,27661,7555.00048828125,470,308,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6708","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6708&mode=design"
2:6709,"시장에 없던 포지셔닝 명확화",text,27778,7624,234,90,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6709","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6709&mode=design"
2:6710,"경쟁우위, 수익성, 비용 배분 등 구체적인 브랜드 포지셔닝 합니다",text,27760,7739,271,60,"https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6710","https://www.figma.com/design/aAlM1pXOIlBOHPL0yelXUb?node-id=2%3A6710&mode=design"
